	Restaurant	Food restrictions	Menu	Menu Eng
24	Restaurant Armenian House	['Gluten-free', 'Vegetarian']	Shared Dishes | PÖYTÄ ARMENIALAISITTAIN! € 60 : PÖYTÄ ARMENIALAISITTAIN!Tarjoamme vähintään neljälle hengelle aidon, armenialaisen pöytäkattauksen täynnä makuelämyksia ja armenialaista tunnelmaa.Kattaus sisältäa maukkaita ja monipuolisia alku- ja pääruokia menustamme.ALKURUOATMunakoisorullat (K,L,G), Adjika (V), Khaviar (V), Basturma-Suchukh (M,G), Marinoidut vihannekset (V,G), Aveluk-salaatti (K,L,G), Amarain-salaatti (V,G), Lavash leipä (M).PÄÄRUOATKhorovac khozi (M,G), Ailazan (V,G), Gavari kana-qabab (M,G), Hacharov plav (K,L)!Ryhmämenu sopii hyvin jaettavaksi seurueen kesken. Tuomme ruoat pöydän keskelle nautittavaksenne armenialaisittain!Erikoisruokavaliot ja allergiat otettu huomioon. Juomat tai jälkiruoat eivät sisälly hintaan (tilattavissa erikseen).	Shared Dishes / table Armenian style! € 60: TABLE ARMENIAN STYLE!We offer at least four people an authentic Armenian table setting full of taste experiences and an Armenian atmosphere.A table setting includes tasty and versatile starters and main dishes from our menu.Entrees eggplant rolls (K,L,G), Adjika (V), Khaviar (V), Basturma-Suchukh (M,G), marinated vegetables (V,G), Aveluk salad (K,L,G), Amarain salad (V,G), Lavash bread (m).Main courses horovac khozi (M,G), Ailazan (V,G), Gavari kana-qabab (M,G), Hacharov plav (K,L)!The group menu is suitable for sharing among the group. We bring the food to the center of the table for you to enjoy, Armenian style!Special diets and allergies taken into account. Drinks and desserts are not included (can be ordered separately).
25	Restaurant Armenian House	['Gluten-free', 'Vegetarian']	Desserts | Gata : Perinteinen armenialainen leivonnainen, sis. pähkinää	Desserts / Gata: traditional Armenian pastry, incl. nuts
26	Restaurant Armenian House	['Gluten-free', 'Vegetarian']	Desserts | Suklainen Spartak-kakku	Desserts / chocolate Spartak cake
27	The Alley	['Gluten-free', 'Vegan', 'Vegetarian']	Small Plates | Shashlik Yakitori : Georgian grilled pork, brussel sprouts, smoked jus, pickled mustard seeds	Small Plates / Shashlik Yakitori: Georgian grilled pork, brussel sprouts, smoked jus, pickled mustard seeds
28	The Alley	['Gluten-free', 'Vegan', 'Vegetarian']	Small Plates | Salsa Macha roasted pumpkin : Roasted Hokkaido Pumpkin, Feta & Goat cheese, pumpkin seeds, salsa macha sauce	Small Plates / Salsa Macha roasted pumpkin : Roasted Hokkaido Pumpkin, Feta & Goat cheese, pumpkin seeds, salsa macha sauce
29	The Alley	['Gluten-free', 'Vegan', 'Vegetarian']	Small Plates | Vendace Carpaccio : Smoked Vendace, fried capers, tomato carpaccio, mignonette	Small Plates / Vendace Carpaccio : Smoked Vendace, fried capers, tomato carpaccio, mignonette
30	The Alley	['Gluten-free', 'Vegan', 'Vegetarian']	Small Plates | The Pinecabe steak : Cabbage steak, fermented pineapple sauce, almond milk, poppy seeds (v/veg)	Small Plates | the Pinecabe steak: Cabbage steak, fermented pineapple sauce, almond milk, poppy seeds (v/veg)
31	The Alley	['Gluten-free', 'Vegan', 'Vegetarian']	Small Plates | Croquetas de Birria : Birria beef, bechamel, salsa verde, aioli, pickled red onions	Small Plates / Croquetas de Birria: Birria beef, bechamel, salsa verde, aioli, pickled red onions
32	The Butter Boys	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | Bao Buns : Tiger Prawns3 kpl Höyrysämpylöitä, Tiikeriravun pyrstöjä, Chiliä, Korianteria, Pikkelteitä, Limeä  Boys Mayo (M)Candy Pork3 kpl Höyrysämpylöitä, Karamellisoitua possua, Chiliä, Korianteria, Pikkelteitä, Limeä  Boys Mayo (M)Tofu Buns3 kpl Höyrysämpylöitä, Kylmäsavustettua tofua, Chiliä, Korianteria, Pikkelteitä, Limeä  Boys Mayo (M, saatavilla VE)	Starters | Bao Buns : Tiger Prawns3 PCs steam rolls, Tiger crab tails, chili, coriander, Pickles, Lime Boys Mayo (M)Candy Pork3 PCs steam rolls, caramelized pork, chili, coriander, Pickles, Lime Boys Mayo (m)Tofu Buns3 PCs steam rolls, Cold Smoked Tofu, chili, coriander, Pickles, Lime Boys Mayo (m, available ve)
33	The Butter Boys	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | GRILLED CHEESE VOL 2 : Hapanjuustoleipää, Emmental-juustoa, Mozzarellajuustoa, parmesaania, karamellisoitua sipulia, paahdettua valkosipulivoita, pikkeleitä & Ranch-dippi (VL)	Mains / GRILLED CHEESE VOL 2 : sour Cheese Bread, Emmental cheese, mozzarella cheese, Parmesan, caramelized onion, roasted garlic butter, pickles & Ranch Dip (VL)
34	The Butter Boys	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | TUNA MELT : Hapanjuurileipää, tonnikalaa, majoneesia, emmentaljuustoa, mozzarellajuustoa, parmesaania, varsiselleriä tilliä ja ranch-dippi.	Mains / TUNA MELT : sourdough bread, tuna, mayonnaise, Emmental cheese, mozzarella cheese, Parmesan, celeriac dill and ranch dip.
35	The Butter Boys	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | ANTHONY BOURDAIN : Perunasämpylä, 150g Mortadella-kinkkua, Provolone-juustoa ja hunajasinappi (sis pähkinää, saatavilla G)	Mains / ANTHONY BOURDAIN: potato roll, 150g Mortadella ham, Provolone cheese and honey mustard (incl. nuts, available in G)
36	The Butter Boys	['Gluten-free', 'Vegan', 'Vegetarian']	Desserts | Mansikkapirtelö : Kermavaahtoa ja strösseliä (L,G)	Desserts / Strawberry Milkshake: whipped cream and sprinkles (L, G)
37	The Butter Boys	['Gluten-free', 'Vegan', 'Vegetarian']	Desserts | Sitruuna-lakritsi Creme brúlee ja Etelän Hetelmiä : L,G	Desserts | lemon-licorice Creme brúlee and Southern stamens: L, G
38	The Butter Boys	['Gluten-free', 'Vegan', 'Vegetarian']	Snacks | Tiikeriravun pyrstöjä : Paahdettua valkosipulivoita & Boys Jäm (L)	Snacks | Tiger crab tails: roasted garlic butter & Boys Jäm (L)
39	The Butter Boys	['Gluten-free', 'Vegan', 'Vegetarian']	Snacks | Patatas Bravas : Boys Jäm & Aiolia (L,G)	Snacks | Patatas Bravas: Boys Jäm & Aiolia (L, G)
40	Ravintola KuuKuu	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | Kasviscarpaccio ja kikhernekrutonkeja	Starters | vegetable carpaccio and chickpea croutons
41	Ravintola KuuKuu	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | Vuohenjuustosalaatti, oman pellon kasviksia ja balsamicosiirappia	Starters / Goat Cheese Salad With own field vegetables and balsamic syrup
42	Ravintola KuuKuu	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | Katkarapuskagen ja kylmäsavustettua kirjolohenmätiä	Starters | shrimp Kagen and cold-smoked rainbow trout roe
43	Ravintola KuuKuu	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | Vuohenjuustosalaatti, oman pellon kasviksia ja balsamicosiirappia	Mains / Goat Cheese Salad With own field vegetables and balsamic syrup
44	Ravintola KuuKuu	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | Hirssirisottoa, vegaanista juustoa ja oman pellon kasviksia	Mains / millet risotto, vegan cheese and own-field vegetables
45	Ravintola KuuKuu	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | Katkarapuskagen ja kylmäsavustettua kirjolohenmätiä	Mains / shrimp Kagen and cold-smoked rainbow trout roe
46	Ravintola KuuKuu	['Gluten-free', 'Vegan', 'Vegetarian']	Desserts | Oman pellon yrteillä maustettu crème brûlée	Desserts / crème brûlée flavored with herbs from own field
47	Ravintola KuuKuu	['Gluten-free', 'Vegan', 'Vegetarian']	Desserts | Suklaamoussea, kahvikakkua ja pekaanipähkinää	Desserts / chocolate mousse, coffee cake and pecan
48	Ravintola KuuKuu	['Gluten-free', 'Vegan', 'Vegetarian']	Desserts | Sitruunamarenkipiirakkaa ja mustaherukkasorbettia	Desserts | Lemon Meringue Pie and blackcurrant sorbet
49	Daily Dose	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | CARPACCIO DI MANZO (G, L) : 100gr. raw beef fillet, meticulously sliced and marinated with salt, pepper, olive oil extra virgin, and Parmigiano Reggiano.	Starters / CARPACCIO DI MANZO (G, L) : 100gr. raw beef fillet, meticulously sliced and marinated with salt, pepper, olive oil extra virgin, and Parmigiano Reggiano.
50	Daily Dose	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | GAMBERI PICCANTI (G, L) : Shrimps (ASC), pan-seared and served with a delicate sauce of olive oil extra virgin,  flavourful stock, and a hint of chili, finished with a vibrant roasted bell pepper purée.	Starters / GAMBERI PICCANTI (G, L) : Shrimps (ASC), pan-seared and served with a delicate sauce of olive oil extra virgin, flavourful stock, and a hint of chili, finished with a vibrant roasted bell pepper purée.
51	Daily Dose	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | TARTALLETTE (L) : It is a flaky, golden crust filled with a savoury medley of seasonal vegetables as bell peppers, zucchini, yellow squash, eggplant, all seasoned with olive oil extra virgin, salt, and pepper.	Starters / TARTALLETTE (L) : It is a flaky, golden crust filled with a savoury medley of seasonal vegetables as bell peppers, zucchini, yellow squash, eggplant, all seasonal with olive oil extra virgin, salt, and pepper.
52	Daily Dose	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | RISOTTO (G, F) : Creamy Arborio rice simmered with white wine and Hokkaido pumpkin, mussels, butter, Pecorino cheese, and a touch of black pepper.	Mains / RISOTTO (G, F) : Creamy Arborio rice simmered with white wine and Hokkaido pumpkin, mussels, butter, Pecorino cheese, and a touch of black pepper.
53	Daily Dose	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | PASTA CON RAGU’ DI LENTICCHIE (V)(N) : Interlude pasta. Lentils Ragù is a hearty and flavourful dish that combines the rich, savoury taste of lentils with the comforting texture of pasta. The ragù is made with tomato-based sauce aromatic vegetables as onions, carrots, celery and walnuts.	Mains / PASTA CON RAGU ' DI LENTICCHIE(V) (N) : Interlude pasta. Lentils Ragù is a hearty and flavourful dish that combines the rich, savoury taste of lentils with the comforting texture of pasta. The ragù is made with tomato-based sauce aromatic vegetables as onions, carrots, celery and walnuts.
54	Daily Dose	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | POLPO ALLA LUCIANA (L) : Octopus simmered in a tomatoes sauce, olives, capers, chili peppers, olive oil extra virgin and garlic. The slow-cooking method ensures the octopus becomes tender and absorbs the rich sauce.	Mains / POLPO alla LUCIANA (L) : Octopus simmered in a tomatoes sauce, olives, capers, chili peppers, olive oil extra virgin and garlic. The slow-cooking method ensures the octopus becomes tender and absorbs the rich sauce.
55	Daily Dose	['Gluten-free', 'Vegan', 'Vegetarian']	Desserts | TORTA DELLA NONNA (L) : Buttery pastry crust filled with a creamy custard made from eggs, milk, sugar, and flour. The top is adorned with pine nuts and dusted with powdered sugar.	Desserts / TORTA DELLA NONNA (L) : Buttery pasty crust filled with a creamy custard made from eggs, milk, sugar, and flour. The top is adored with pine nuts and dusted with powdered sugar.
56	Daily Dose	['Gluten-free', 'Vegan', 'Vegetarian']	Desserts | PANNACOTTA (V, G) : A twist on the traditional panna cotta, this vegan version features the flavors of passion fruit and coconut milk, set with agar-agar, and topped with meringue. Enjoy its silky, smooth texture that closely mimics the original.	Desserts / panna cotta (V, G) : A twist on the traditional panna cotta, this vegan version features the flavors of passion fruit and coconut milk, set with agar-agar, and topped with meringue. Enjoy its silky, smooth texture that closely mimics the original.
57	Passio	['Gluten-free', 'Vegan', 'Vegetarian']	Set Menu | Tarjoilemme Passiossa 3 ja 5 ruokalajin yllätysmenuita : 3 ruokalajin menu 62.00€ + viinisuositukset   yhdelle 49€5 ruokalajin menu 82.00€ + viinisuositukset yhdelle 69€WE OFFER 3 AND 5 COURSE MENUS3 course menu 62.00€ + wines 49€ (per person)5 course menu 82.00€ + wines 69€ (per person)	Set Menu | we serve 3 and 5 course surprise menus in passion : 3 course menu 62.00€ + wine recommendations for one 49€5 course menu 82.00€ + wine recommendations for one 69€WE OFFER 3 and 5 COURSE MENUS3 course menu 62.00€ + wines 49€ (per person)5 course menu 82.00€ + wines 69€ (per person)
58	Passio	['Gluten-free', 'Vegan', 'Vegetarian']	Beverages | Viinit : Passion viinivalikoima koostuu itse maahantuoduista eurooppalaisista pientuottajaviineistä.Our wine collection consist of self imported, European small and artisan produced wines.	Beverages / wines: Passion's wine selection consists of imported European small-producer wines.Our wine collection consist of self imported, European small and artisan produced wines.
59	Ravintola Ani	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | TURKKILAINEN MEZE -LAUTANEN (pieni) : Humusta, papusalaattia, munakoisoa, bulguria, viininlehtikääryleitä, fetaa sekä ezmeä ja haydaria	Starters / Turkish meze plate (small): humus, bean salad, aubergine, bulgur, vine leaf rolls, feta and ezme and Haydar
60	Ravintola Ani	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | VALKOSIPULIKANAA : Valkosipulilla maustettua broilerivarrasta, riisiä ja salaattia sekä haydaria	Mains / garlic chicken: chicken skewer with garlic, rice and salad and Haydar
61	Ravintola Ani	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | ADANA KEBAB : Chilillä ja paprikalla maustettua lampaan jauhelihavarrasta grillattuna, lisäksi leipää ja salaattia	Mains / ADANA KEBAB: lamb minced skewer spiced with chilli and paprika grilled, with bread and salad
62	Ravintola Ani	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | MIXED GRILL : Broilerin ja karitsan sisäfilevarrasta, haydaria ja ezmeä, lisäksi riisiä	Mains / MIXED GRILL: chicken and lamb tenderloin beef, Haydar and ezme, plus rice
63	Pompier ESPA	['Gluten-free', 'Vegetarian']	Starters | Siikacrudo, fermentoitua tomaattilientä ja jalapeñoöljyä : Whitefish crudo, fermented tomato infusion and jalapeño oil	Starters / Siikacrudo, fermented tomato broth and jalapeño oil: Whitefish crudo, fermented tomato infusion and jalapeño oil
64	Pompier ESPA	['Gluten-free', 'Vegetarian']	Starters | Härkätartar, karamellisoitua sipulimajoneesia ja pikkelöityjä viinirypäleitä : Beef tartare, caramelized onion mayonnaise and pickled grapes	Starters | Bull tartare, caramelized onion mayonnaise and pickled grapes: Beef tartare, caramelized onion mayonnaise and pickled grapes
65	Pompier ESPA	['Gluten-free', 'Vegetarian']	Starters | Briossia, linnunmaksamoussea ja luumua : Brioche, chicken liver mousse and plum	Starters / brioche, bird liver mousse and plum: Brioche, chicken liver mousse and plum
66	Pompier ESPA	['Gluten-free', 'Vegetarian']	Mains | Paistettua kuhaa, suolasitruuna- beurre blanc ja salottisipuliconfit : Pan fried pike perch, preserved lemon beurre blanc and shallot confit	Mains | fried pike perch, salted lemon beurre blanc and shallot confit: Pan fried pike perch, preserved lemon beurre blanc and shallot confit
67	Pompier ESPA	['Gluten-free', 'Vegetarian']	Mains | Perunagnoccheja ”melanzane” ja burratajuustoa : Potato gnocchi “melanzane” and burrata	"Mains / potato Agnocchi ""melanzane “and burrata cheese : Potato gnocchi ""melanzane"" and burrata"
68	Pompier ESPA	['Gluten-free', 'Vegetarian']	Desserts | Tarte Tatin, kinuskia ja vaniljajäätelöä : Tarte Tatin, caramel sauce and vanilla ice cream	Desserts | Tarte Tatin, caramel and vanilla ice cream: Tarte Tatin, caramel sauce and vanilla ice cream
69	Pompier ESPA	['Gluten-free', 'Vegetarian']	Desserts | Appelsiinikakkua ja Timut-pippuriranskankermaa : Orange cake and Timut pepper crème fraîche	Desserts | Orange Cake and Timut pepper French cream: Orange cake and Timut pepper crème fraîche
70	Gastro Cafe Kallio	['Vegetarian']	Mains | Päivittäin vaihtuva menu	Mains / daily changing menu
71	Georgian Kitchen	['Vegetarian']	Starters | Kasvissalaatti saksanpähkinällä : Kurkkua, tomaattia, punasipulia, georgialaisia mausteita ja yrttejä, saksanpähkinää, granaattiomenaa.L, G, V	Starters / Vegetable Salad with walnut : cucumber, tomato, red onion, Georgian spices and herbs, Walnut, pomegranate.L, G, V
72	Georgian Kitchen	['Vegetarian']	Starters | Pkhali valikoima : Saksanpähkinää, pinaattia, papuja, punajuurta, georgialaisia mausteita ja yrttejä.L, G, V	Starters / Pkhali range : walnuts, spinach, beans, beetroot, Georgian spices and herbs.L, G, V
73	Georgian Kitchen	['Vegetarian']	Starters | Munakoisorullia ”Badrizhani” : Munakoisoa, saksanpähkinää, sipulia, valkosipulia, georgialaisia mausteita ja yrttejä.L, G, V	Starters / eggplant rolls ”Badrizhani” : eggplant, Walnut, onion, garlic, Georgian spices and herbs.L, G, V
74	Georgian Kitchen	['Vegetarian']	Mains | Lihakhinkali : Naudan- ja sianlihalla täytetyt taikinanyytitL	Mains / Lihakhinkali: dough dumplings stuffed with beef and pork
75	Georgian Kitchen	['Vegetarian']	Mains | Sienichashushuli : Sieniä, tomaattia, sipulia, valkosipulia, georgialaisia mausteita ja yrttejäL, G, V	Mains / Sienichashushuli: mushrooms, tomatoes, onions, garlic, Georgian spices and herbs, G, V
76	Georgian Kitchen	['Vegetarian']	Mains | Lohi : Lohifilee, sitruunaa, salaattisekoitus, kirsikkatomaattia, balsamicoL, G	Mains / Salmon: Salmon Fillet, lemon, salad mix, cherry tomatoes, balsamicoL, G
77	Georgian Kitchen	['Vegetarian']	Desserts | Pelamushi : Rypälemehusta valmistettu georgialainen jälkiruoka ja jäätelöäL, G, V	Desserts / Pelamushi: Georgian dessert and ice cream made from grape juice, G, V
78	Georgian Kitchen	['Vegetarian']	Desserts | Päärynää punaviinissä : Päärynää, saksanpähkinää, hasselpähkinää, kaneliaL, G, V	Desserts | pear in red wine: pear, walnut, hazelnut, cinnamon, G, V
79	Georgian Kitchen	['Vegetarian']	"Desserts | ""Napoleon"" kakku"	"Desserts / ""Napoleon"" cake"
80	Levant Bulevardi	['Gluten-free', 'Halal', 'Vegan', 'Vegetarian']	Mains | Meze Levant : FALAFEL, HUMMUS, TABBOULEH, BABA GANOUSH, TOMAATTIPAPU	Mains / Meze Levant: FALAFEL, HUMMUS, TABBOULEH, BABA GANOUSH, tomato bean
81	Levant Bulevardi	['Gluten-free', 'Halal', 'Vegan', 'Vegetarian']	Mains | Meze Vegan : FALAFEL, HUMMUS, MARINOIDUT KASVIKSET, TABBOULEH, BABA GANOUSH	Mains / Meze Vegan: FALAFEL, HUMMUS, marinated vegetables, TABBOULEH, BABA GANOUSH
82	Levant Bulevardi	['Gluten-free', 'Halal', 'Vegan', 'Vegetarian']	Mains | Levant Original (Grillattu falafelrulla)	Mains / Levant Original (grilled falafel roll)
83	Three Belly’s Pizza	['Gluten-free', 'Vegan', 'Vegetarian']	Antipasti | Chupa dedo olives	Antipasti / Chupa dedo olives
84	Three Belly’s Pizza	['Gluten-free', 'Vegan', 'Vegetarian']	Antipasti | Taleggio piacere	Antipasti / Taleggio piacere
85	Three Belly’s Pizza	['Gluten-free', 'Vegan', 'Vegetarian']	Antipasti | House pastrami	Antipasti / House pastrami
86	Three Belly’s Pizza	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | Funghi La La : Truffle sour cream, lemon & thyme marinated shitake mushrooms, oyster mushrooms, lemon EVO & aged parmesan	Mains / Funghi La La: Truffle sour cream, lemon & thyme marinated shitake mushrooms, oyster mushrooms, lemon EVO & aged parmesan
87	Three Belly’s Pizza	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | Pueblo Escobar : Pomodoro Pelati, Fior di Latte mozzarella, oregano, Pueblo Chorizo, Nduja salami, ricotta & basil	Mains / Pueblo Escobar: Pomodoro Pelati, Fior di Latte mozzarella, oregano, Pueblo Chorizo, Nduja salami, ricotta & basil
88	Three Belly’s Pizza	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | Piha Provençal	Mains / Piha Provençal
89	Three Belly’s Pizza	['Gluten-free', 'Vegan', 'Vegetarian']	Desserts | Tiramisu : Amaretto flavoured cake, coffee & mascarpone cream	Desserts | Tiramisu: Amaretto flavoured cake, coffee & mascarpone cream
90	Ravintola Kuu	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | Vuohenjuustosalaattia, marinoitua paprikaa ja pekaanipähkinää : Goat cheese salad with marinated bell peppers and pecans	Starters | Goat Cheese Salad with marinated bell peppers and pecans : Goat cheese salad with pickled bell peppers and pecans
91	Ravintola Kuu	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | Porotartar, suppilovahveroita, karpaloa ja rosmariinimajoneesia : Reindeer tartare with funnel chanterelles, cranberries and rosemary mayonnaise	Starters | reindeer tartare, funnel tartare, cranberry and rosemary mayonnaise : Reindeer tartare with funnel chanterelles, cranberries and rosemary mayonnaise
92	Ravintola Kuu	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | Perinteistä savulohikeittoa : Traditional smoked salmon soup	Starters | traditional smoked salmon soup: Traditional smoked salmon soup
